rank,username,digg_profile_username,display_name,role,cohort,tech_ranked_followers,gravity,score,followers_count,bio,x_id,github_url,previous_rank,rank_change,category_rank,category_confidence,vibe_distribution,vibe_tweet_count,is_new_entrant,is_emerging_startup,emerging_reasoning,classification_tldr,cohort_rank,digg_url,x_url
11,chelseabfinn,chelseabfinn,Chelsea Finn,Academic,ai,551,7.269,551,96785,"Asst Prof of CS & EE @Stanford
Co-founder of Physical Intelligence @physical_int
PhD from @Berkeley_EECS, EECS BS from @MIT",2577596593,https://github.com/cbfinn,16,5,2,8.5,"{'troll': 0, 'banter': 0, 'hopeful': 17.6, 'humorous': 1.6, 'teaching': 17, 'combative': 0, 'informing': 31.7, 'announcing': 23.5, 'supportive': 6.9, 'provocative': 1.5, 'devils_advocate': 0.3}",179,False,False,,,11,https://digg.com/u/x/chelseabfinn,https://x.com/chelseabfinn
12,sarahookr,sarahookr,Sara Hooker,Founder,ai,549,7.243,549,62385,"Building intelligence that evolves @adaption_ai. Built @Cohere_Labs, @GoogleBrain, @GoogleDeepmind. ML Efficiency, Multimodal\lingual.",731538535795163136,https://github.com/sarahooker,17,5,3,7.5,"{'troll': 0, 'banter': 1.5, 'hopeful': 18.8, 'humorous': 10.5, 'teaching': 9.1, 'combative': 0, 'informing': 16.6, 'announcing': 22.6, 'supportive': 15.7, 'provocative': 4.8, 'devils_advocate': 0.5}",200,False,False,,,12,https://digg.com/u/x/sarahookr,https://x.com/sarahookr
13,sama,sama,Sam Altman,Founder,tech,548,7.23,548,5340424,AI is cool i guess,1605,,7,-6,4,10,"{'troll': 0, 'banter': 3.1, 'hopeful': 21.9, 'humorous': 9.4, 'teaching': 3.9, 'combative': 0.3, 'informing': 17.4, 'announcing': 21.8, 'supportive': 19.5, 'provocative': 2.2, 'devils_advocate': 0.7}",200,False,False,,,1,https://digg.com/u/x/sama,https://x.com/sama
14,kchonyc,kchonyc,Kyunghyun Cho,Academic,ai,548,7.23,548,86351,a mediocre combination of a mediocre scientist and a mediocre advisor at @nyuniversity (@CILVRatNYU),48642190,https://github.com/kyunghyuncho,18,4,3,8.7,"{'troll': 0, 'banter': 3.5, 'hopeful': 7.7, 'humorous': 16.8, 'teaching': 9.1, 'combative': 0.3, 'informing': 24.6, 'announcing': 17.5, 'supportive': 10.2, 'provocative': 9.2, 'devils_advocate': 1.1}",159,False,False,,,13,https://digg.com/u/x/kchonyc,https://x.com/kchonyc
15,GoogleAI,googleai,Google AI,Company,ai,539,7.111,539,2419620,Making AI helpful for everyone. Show thinking ↓,33838201,,30,15,3,10,{},0,False,False,,,14,https://digg.com/u/x/googleai,https://x.com/GoogleAI
16,chrmanning,chrmanning,Christopher Manning,Academic,ai,531,7.005,531,164923,Founder @stanfordnlp & cs224n—Senior Fellow @StanfordHAI—Prof. CS & Linguistics @Stanford—GP @aixventureshq—MTS @moonlake—Australian🇦🇺—Do #NLProc &...,2815077014,https://github.com/manning,20,4,4,9,"{'troll': 0, 'banter': 2.5, 'hopeful': 9.5, 'humorous': 9, 'teaching': 13.9, 'combative': 0, 'informing': 22.7, 'announcing': 9.8, 'supportive': 16.9, 'provocative': 11.4, 'devils_advocate': 4.3}",176,False,False,,,15,https://digg.com/u/x/chrmanning,https://x.com/chrmanning
17,hardmaru,hardmaru,hardmaru,Founder,ai,512,6.755,512,419707,Co-Founder and CEO @SakanaAILabs 🎏,2895499182,https://github.com/hardmaru,19,2,5,9,"{'troll': 0, 'banter': 0.8, 'hopeful': 13.8, 'humorous': 9.6, 'teaching': 9.6, 'combative': 0, 'informing': 28.4, 'announcing': 21.9, 'supportive': 9.9, 'provocative': 5.6, 'devils_advocate': 0.5}",200,False,False,,,16,https://digg.com/u/x/hardmaru,https://x.com/hardmaru
18,ch402,ch402,Chris Olah,AI Safety,ai,507,6.689,507,149899,"Reverse engineering neural networks at @AnthropicAI. Previously @distillpub, OpenAI Clarity Team, Google Brain. Personal account.",153196789,https://github.com/colah,23,5,2,9,"{'troll': 0, 'banter': 0, 'hopeful': 15.9, 'humorous': 1.4, 'teaching': 21.7, 'combative': 0, 'informing': 31.6, 'announcing': 12.6, 'supportive': 13.2, 'provocative': 2.2, 'devils_advocate': 1.5}",179,False,False,,,17,https://digg.com/u/x/ch402,https://x.com/ch402
19,srush_nlp,srush_nlp,Sasha Rush,Research Engineer,ai,507,6.689,507,81085,"Researcher at Cursor
https://www.youtube.com/@srush_nlp",4558314927,https://github.com/srush,27,8,2,8.5,"{'troll': 0, 'banter': 2.5, 'hopeful': 9.6, 'humorous': 14.6, 'teaching': 10.8, 'combative': 0, 'informing': 29, 'announcing': 11.8, 'supportive': 14, 'provocative': 6, 'devils_advocate': 1.8}",200,False,False,,,18,https://digg.com/u/x/srush_nlp,https://x.com/srush_nlp
20,pabbeel,pabbeel,Pieter Abbeel,Academic,ai,500,6.596,500,111521,Berkeley & Amazon,180993910,https://github.com/pabbeel,26,6,5,8.5,"{'troll': 0, 'banter': 0.4, 'hopeful': 10.5, 'humorous': 2, 'teaching': 10, 'combative': 0, 'informing': 35.8, 'announcing': 21.5, 'supportive': 18, 'provocative': 1.7, 'devils_advocate': 0.2}",200,False,False,,,19,https://digg.com/u/x/pabbeel,https://x.com/pabbeel
21,hugo_larochelle,hugo_larochelle,Hugo Larochelle,Researcher,ai,498,6.57,498,124366,"Mila Scientific Director. Scientific Lead @adaption_ai, advisor @tiptreesystems & @PrizmalAi. Ex @Google DeepMind & Twitter Cortex. Father of 4.",3333052551,https://github.com/larocheh,39,18,4,8.2,"{'troll': 0, 'banter': 0, 'hopeful': 16.2, 'humorous': 1, 'teaching': 4.4, 'combative': 0, 'informing': 21.2, 'announcing': 28, 'supportive': 26.8, 'provocative': 1.3, 'devils_advocate': 1.1}",50,False,False,,,20,https://digg.com/u/x/hugo_larochelle,https://x.com/hugo_larochelle
22,NandoDF,nandodf,Nando de Freitas,Researcher,ai,497,6.557,497,109741,"I seek to understand intelligence & agency and build AI aligned with compassion, freedom & universal human empowerment through progress in science ...",29843511,https://github.com/nandodf,32,10,5,8,"{'troll': 0, 'banter': 0.8, 'hopeful': 13.9, 'humorous': 4.6, 'teaching': 14.6, 'combative': 0.5, 'informing': 24.3, 'announcing': 11.5, 'supportive': 20, 'provocative': 8.6, 'devils_advocate': 1.3}",193,False,False,,,21,https://digg.com/u/x/nandodf,https://x.com/NandoDF
23,AnthropicAI,anthropicai,Anthropic,Company,ai,489,6.451,489,1465995,"We're an AI safety and research company that builds reliable, interpretable, and steerable AI systems. Talk to our AI assistant @claudeai on https:...",1353836358901501952,,24,1,4,10,{},0,False,False,,,22,https://digg.com/u/x/anthropicai,https://x.com/AnthropicAI
24,percyliang,percyliang,Percy Liang,Academic,ai,488,6.438,488,108375,"professor of computer science @Stanford @stanfordnlp, co-founder of @togethercompute, creator of http://marin.community, co-founder of @simile_ai, ...",86481377,https://github.com/percyliang,25,1,6,8.5,"{'troll': 0, 'banter': 0, 'hopeful': 10, 'humorous': 1.4, 'teaching': 23, 'combative': 0, 'informing': 33.5, 'announcing': 16.3, 'supportive': 9.6, 'provocative': 4.9, 'devils_advocate': 1.3}",198,False,False,,,23,https://digg.com/u/x/percyliang,https://x.com/percyliang
25,lilianweng,lilianweng,Lilian Weng,Founder,ai,488,6.438,488,262615,"Co-founder of Thinking Machines Lab @thinkymachines; Ex-VP, AI Safety & robotics, applied research @OpenAI; Author of Lil'Log",96999384,https://github.com/lilianweng,29,4,6,7.5,"{'troll': 0, 'banter': 1.9, 'hopeful': 16.8, 'humorous': 6.3, 'teaching': 15.8, 'combative': 0, 'informing': 22.5, 'announcing': 18.7, 'supportive': 16, 'provocative': 1.7, 'devils_advocate': 0.3}",126,False,False,,,24,https://digg.com/u/x/lilianweng,https://x.com/lilianweng
26,svlevine,svlevine,Sergey Levine,Academic,ai,484,6.385,484,130646,"Associate Professor at UC Berkeley
Co-founder, Physical Intelligence",990433714948661250,https://github.com/svlevine,37,11,7,8.5,"{'troll': 0, 'banter': 0.6, 'hopeful': 14.9, 'humorous': 4.4, 'teaching': 20.2, 'combative': 0, 'informing': 32.2, 'announcing': 18.7, 'supportive': 8, 'provocative': 1, 'devils_advocate': 0}",199,False,False,,,25,https://digg.com/u/x/svlevine,https://x.com/svlevine
27,Thom_Wolf,thom_wolf,Thomas Wolf,Founder,ai,483,6.372,483,118379,Co-founder at @HuggingFace - moonshots - angel,246939962,https://github.com/thomwolf,21,-6,7,8.5,"{'troll': 0, 'banter': 0.9, 'hopeful': 21.4, 'humorous': 5.7, 'teaching': 8.1, 'combative': 0.2, 'informing': 23.4, 'announcing': 14.1, 'supportive': 16.2, 'provocative': 9.4, 'devils_advocate': 0.8}",200,False,False,,,26,https://digg.com/u/x/thom_wolf,https://x.com/Thom_Wolf
28,sleepinyourhat,sleepinyourhat,Sam Bowman,AI Safety,ai,482,6.359,482,65201,AI alignment + LLMs at Anthropic. On leave from NYU. Views not employers'. No relation to @s8mb. Into @givingwhatwecan.,338526004,https://github.com/sleepinyourhat,31,3,3,9,"{'troll': 0, 'banter': 0.5, 'hopeful': 12.6, 'humorous': 2.7, 'teaching': 20.4, 'combative': 0, 'informing': 38.3, 'announcing': 12, 'supportive': 10.2, 'provocative': 2.6, 'devils_advocate': 0.9}",200,False,False,,,27,https://digg.com/u/x/sleepinyourhat,https://x.com/sleepinyourhat
29,demishassabis,demishassabis,Demis Hassabis,Founder,tech,471,6.214,471,1302694,Nobel Laureate. Co-Founder & CEO @GoogleDeepMind - working on AGI. Solving disease @IsomorphicLabs. Trying to understand the fundamental nature of ...,1482581556,https://github.com/demishassabis,6,-23,8,9,"{'troll': 0, 'banter': 0.4, 'hopeful': 22.1, 'humorous': 7.2, 'teaching': 6.6, 'combative': 0, 'informing': 23.4, 'announcing': 21.9, 'supportive': 17.7, 'provocative': 0.6, 'devils_advocate': 0.1}",180,False,False,,,2,https://digg.com/u/x/demishassabis,https://x.com/demishassabis
30,rsalakhu,rsalakhu,Russ Salakhutdinov,Academic,ai,469,6.187,469,112266,"CSO @ Sooth Labs, Professor @ CMU,  President Elect ICML Board, Ex-VP of Research @ Meta (Multimodal LLMs, AI Agents), ex-Director of AI at @Apple.",2956121356,,43,13,8,9,"{'troll': 0, 'banter': 2.3, 'hopeful': 7.8, 'humorous': 5.8, 'teaching': 9.1, 'combative': 0.1, 'informing': 32.9, 'announcing': 22.6, 'supportive': 16, 'provocative': 2.4, 'devils_advocate': 1.1}",180,False,False,,,28,https://digg.com/u/x/rsalakhu,https://x.com/rsalakhu
31,zacharylipton,zacharylipton,Zachary Lipton,Academic,ai,468,6.174,468,67528,"Professor: CMU/@acmi_lab, Cofounder: @AbridgeHQ, Creator: @d2l_ai & http://approximatelycorrect.com, Relapsing 🎷",18850305,https://github.com/zackchase,40,9,9,8.5,"{'troll': 0.1, 'banter': 2.8, 'hopeful': 7.8, 'humorous': 20.6, 'teaching': 14.9, 'combative': 0.4, 'informing': 15.4, 'announcing': 9, 'supportive': 8.5, 'provocative': 18.2, 'devils_advocate': 2.2}",180,False,False,,,29,https://digg.com/u/x/zacharylipton,https://x.com/zacharylipton
32,gdb,gdb,Greg Brockman,Founder,tech,461,6.082,461,1000483,President & Co-Founder @OpenAI,162124540,https://github.com/gdb,15,-17,9,8.5,"{'troll': 0, 'banter': 0.4, 'hopeful': 27.7, 'humorous': 3.3, 'teaching': 6.8, 'combative': 0, 'informing': 26.6, 'announcing': 19.9, 'supportive': 14, 'provocative': 1.4, 'devils_advocate': 0.2}",200,False,False,,,3,https://digg.com/u/x/gdb,https://x.com/gdb
33,_akhaliq,_akhaliq,AK,Creator,ai,461,6.082,461,508270,"AI research paper tweets, ML @Gradio (acq. by @HuggingFace 🤗) dm for promo ,submit papers here: https://huggingface.co/papers/submit",2465283662,https://github.com/akhaliq,34,1,1,8.2,"{'troll': 0, 'banter': 0, 'hopeful': 2, 'humorous': 0.3, 'teaching': 1.4, 'combative': 0, 'informing': 73.8, 'announcing': 21.5, 'supportive': 0.9, 'provocative': 0.2, 'devils_advocate': 0}",200,False,False,,,30,https://digg.com/u/x/_akhaliq,https://x.com/_akhaliq
34,AIatMeta,aiatmeta,AI at Meta,Company,ai,441,5.818,441,815609,"Together with the AI community, we are pushing the boundaries of what’s possible through open science to create a more connected world.",1034844617261248512,,45,11,5,10,{},0,False,False,,,31,https://digg.com/u/x/aiatmeta,https://x.com/AIatMeta
35,quocleix,quocleix,Quoc Le,Researcher,ai,419,5.528,419,63197,Google Fellow,989251872107085824,,48,13,6,9.5,"{'troll': 0, 'banter': 0.7, 'hopeful': 12.5, 'humorous': 3.6, 'teaching': 15.4, 'combative': 0, 'informing': 40.6, 'announcing': 18.7, 'supportive': 7.3, 'provocative': 1.2, 'devils_advocate': 0.2}",159,False,False,,,32,https://digg.com/u/x/quocleix,https://x.com/quocleix
36,jacobandreas,jacobandreas,Jacob Andreas,Academic,ai,415,5.475,415,23925,"Teaching computers to read. 
Assoc. prof @MITEECS / @MIT_CSAIL / @NLP_MIT (he/him).
http://lingo.csail.mit.edu
http://web.mit.edu/jda/www",2210861,https://github.com/jacobandreas,56,20,10,9.5,"{'troll': 0.1, 'banter': 0.7, 'hopeful': 11.3, 'humorous': 5.2, 'teaching': 15.9, 'combative': 0, 'informing': 25.8, 'announcing': 23.3, 'supportive': 13.6, 'provocative': 3.1, 'devils_advocate': 1.2}",198,False,False,,,33,https://digg.com/u/x/jacobandreas,https://x.com/jacobandreas
37,johnschulman2,johnschulman2,John Schulman,Research Engineer,tech,414,5.462,414,75977,"Recently started @thinkymachines. Interested in reinforcement learning, alignment, birds, jazz music",1388977636618080256,https://github.com/joschu,13,-24,3,8.5,"{'troll': 0, 'banter': 0, 'hopeful': 12.9, 'humorous': 7.1, 'teaching': 17.8, 'combative': 0, 'informing': 25.3, 'announcing': 9.5, 'supportive': 19.3, 'provocative': 6.5, 'devils_advocate': 1.8}",40,False,False,,,4,https://digg.com/u/x/johnschulman2,https://x.com/johnschulman2
38,AndrewYNg,andrewyng,Andrew Ng,Founder,tech,407,5.369,407,1655703,"Co-Founder of Coursera; Stanford CS adjunct faculty. Former head of Baidu AI Group/Google Brain. #ai #machinelearning, #deeplearning #MOOCs",216939636,https://github.com/andrewyng,11,-27,10,7,"{'troll': 0, 'banter': 0.3, 'hopeful': 13, 'humorous': 2.9, 'teaching': 17.2, 'combative': 0, 'informing': 26.2, 'announcing': 25.5, 'supportive': 11, 'provocative': 3.6, 'devils_advocate': 0.3}",180,False,False,,,5,https://digg.com/u/x/andrewyng,https://x.com/AndrewYNg
39,paulg,paulg,Paul Graham,Founder,tech,402,5.303,402,3775412,,183749519,,78,39,11,8.5,"{'troll': 0.1, 'banter': 1.1, 'hopeful': 9, 'humorous': 14.2, 'teaching': 26.5, 'combative': 0, 'informing': 23, 'announcing': 5.8, 'supportive': 8.8, 'provocative': 10.5, 'devils_advocate': 1}",200,False,False,,,6,https://digg.com/u/x/paulg,https://x.com/paulg
40,janleike,janleike,Jan Leike,AI Safety,ai,402,5.303,402,132019,"AI research @AnthropicAI. Previously OpenAI & DeepMind.
Optimizing for a post-AGI future where humanity flourishes.
Opinions aren't my employer's.",710610891058716673,https://github.com/janleike,44,4,4,8.5,"{'troll': 0.1, 'banter': 0.2, 'hopeful': 13.7, 'humorous': 2, 'teaching': 17, 'combative': 0.3, 'informing': 30.9, 'announcing': 15.6, 'supportive': 11.5, 'provocative': 7.2, 'devils_advocate': 1.6}",200,False,False,,,34,https://digg.com/u/x/janleike,https://x.com/janleike
41,pmarca,pmarca,Marc Andreessen 🇺🇸,Investor,tech,398,5.251,398,4335539,"You’re not talking to someone who woke up a loser. That loser attitude, that loser premise makes no sense to me.",5943622,,92,51,1,9.5,"{'troll': 0.1, 'banter': 11.7, 'hopeful': 5.6, 'humorous': 19.7, 'teaching': 5.3, 'combative': 0, 'informing': 20.1, 'announcing': 1.6, 'supportive': 15.4, 'provocative': 18.4, 'devils_advocate': 2.2}",199,False,False,,,7,https://digg.com/u/x/pmarca,https://x.com/pmarca
42,DavidDuvenaud,davidduvenaud,David Duvenaud,Academic,ai,397,5.237,397,35496,"Machine learning prof @UofT.  Former team lead at Anthropic.  Working on generative models, inference, & latent structure.",1601593543,https://github.com/duvenaud,58,16,11,7.5,"{'troll': 0, 'banter': 0, 'hopeful': 7.7, 'humorous': 0.3, 'teaching': 27.7, 'combative': 0, 'informing': 39.9, 'announcing': 13.4, 'supportive': 5.4, 'provocative': 3.5, 'devils_advocate': 2.2}",199,False,False,,,35,https://digg.com/u/x/davidduvenaud,https://x.com/DavidDuvenaud
43,polynoamial,polynoamial,Noam Brown,Research Engineer,tech,396,5.224,396,145711,"Researching reasoning @OpenAI | Co-created Libratus/Pluribus superhuman poker AIs, CICERO Diplomacy AI, and OpenAI o-series 🍓 reasoning models",825088493764407298,https://github.com/noambrown,33,-10,4,9.5,"{'troll': 0.2, 'banter': 0.3, 'hopeful': 15.2, 'humorous': 4.9, 'teaching': 16.1, 'combative': 0, 'informing': 33.5, 'announcing': 11.5, 'supportive': 11.6, 'provocative': 5.6, 'devils_advocate': 1.1}",198,False,False,,,8,https://digg.com/u/x/polynoamial,https://x.com/polynoamial
44,tszzl,tszzl,roon,Creator,tech,393,5.185,393,384076,fellow creators the creator seeks,1460283925,,59,15,2,7.5,"{'troll': 0.2, 'banter': 3.3, 'hopeful': 12.5, 'humorous': 16.4, 'teaching': 17.8, 'combative': 0.3, 'informing': 18.6, 'announcing': 3.5, 'supportive': 7, 'provocative': 17.1, 'devils_advocate': 3.2}",198,False,False,,,9,https://digg.com/u/x/tszzl,https://x.com/tszzl
45,jackclarkSF,jackclarksf,Jack Clark,Policy,tech,393,5.185,393,135867,"@AnthropicAI, ONEAI OECD, co-chair @indexingai, writer @ http://importai.net Past: @openai, @business @theregister. Neural nets, distributed system...",86351835,https://github.com/jackclarksf,36,-9,1,8.5,"{'troll': 0, 'banter': 1.3, 'hopeful': 13.5, 'humorous': 9.3, 'teaching': 12.3, 'combative': 0, 'informing': 28.1, 'announcing': 18.4, 'supportive': 10.7, 'provocative': 5.9, 'devils_advocate': 0.6}",200,False,False,,,10,https://digg.com/u/x/jackclarksf,https://x.com/jackclarkSF
46,miramurati,miramurati,Mira Murati,Founder,tech,390,5.145,390,712138,Now building @thinkymachines. Previously CTO @OpenAI,180115578,,47,1,12,8,"{'troll': 0, 'banter': 0, 'hopeful': 19.2, 'humorous': 1.5, 'teaching': 4.2, 'combative': 0.2, 'informing': 23.8, 'announcing': 30.9, 'supportive': 19.6, 'provocative': 0.1, 'devils_advocate': 0.6}",136,False,False,,,11,https://digg.com/u/x/miramurati,https://x.com/miramurati
47,dpkingma,dpkingma,Durk Kingma,Researcher,ai,390,5.145,390,55087,"@AnthropicAI. Prev. @Google Brain/DeepMind, founding team @OpenAI. Computer scientist; inventor of the VAE, Adam optimizer, and other methods. ML PhD.",25263396,https://github.com/dpkingma,54,7,7,9,"{'troll': 0, 'banter': 1.2, 'hopeful': 10.7, 'humorous': 12.9, 'teaching': 15.9, 'combative': 0.3, 'informing': 27.6, 'announcing': 11.7, 'supportive': 14.3, 'provocative': 4.3, 'devils_advocate': 1.2}",120,False,False,,,36,https://digg.com/u/x/dpkingma,https://x.com/dpkingma
48,_jasonwei,_jasonwei,Jason Wei,Researcher,ai,387,5.106,387,108599,"ai researcher @meta superintelligence labs, past: openai, google 🧠",1319101874532978690,https://github.com/jasonwei20,46,-2,8,9,"{'troll': 0, 'banter': 1.8, 'hopeful': 11.1, 'humorous': 15.3, 'teaching': 25.8, 'combative': 0, 'informing': 21.3, 'announcing': 7.7, 'supportive': 10.5, 'provocative': 5.7, 'devils_advocate': 0.8}",160,False,False,,,37,https://digg.com/u/x/_jasonwei,https://x.com/_jasonwei
49,RichardSocher,richardsocher,Richard Socher,Founder,ai,385,5.079,385,120530,"Building self-improving superintelligence
CEO @recursive_si and @youdotcom
MP @aixventuresHQ
Ex: Stanford Adj Prof, Chief Scientist at Salesforce, ...",1442906958,,49,0,13,8.5,"{'troll': 0, 'banter': 0.3, 'hopeful': 17, 'humorous': 6.3, 'teaching': 14.9, 'combative': 0, 'informing': 29, 'announcing': 17.1, 'supportive': 6.5, 'provocative': 7.4, 'devils_advocate': 1.6}",200,False,False,,,38,https://digg.com/u/x/richardsocher,https://x.com/RichardSocher
50,roydanroy,roydanroy,Dan Roy,Academic,ai,385,5.079,385,66450,"@Google DeepMind. On leave, Canada CIFAR AI Chair and Former Research Director, @VectorInst. Professor, @UofT (Statistics/CS). Views are my own.",44073696,https://github.com/droy,60,10,12,9.2,"{'troll': 0.2, 'banter': 5, 'hopeful': 10.5, 'humorous': 16.5, 'teaching': 7, 'combative': 1.3, 'informing': 16.1, 'announcing': 8.1, 'supportive': 20.8, 'provocative': 11.9, 'devils_advocate': 2.9}",200,False,False,,,39,https://digg.com/u/x/roydanroy,https://x.com/roydanroy
51,_rockt,_rockt,Tim Rocktäschel,Academic,ai,383,5.053,383,47245,"Teaching AI the joy of invention at @Recursive_SI, Professor of AI @AI_UCL, PI @BOLD_Lab_AI, Fellow @ELLISforEurope. Ex @GoogleDeepMind @AIatMeta @...",228792418,https://github.com/rockt,68,17,13,8.5,"{'troll': 0, 'banter': 1.6, 'hopeful': 11.9, 'humorous': 6.5, 'teaching': 10.7, 'combative': 0, 'informing': 27.3, 'announcing': 15.4, 'supportive': 19.9, 'provocative': 5.8, 'devils_advocate': 1}",200,False,False,,,40,https://digg.com/u/x/_rockt,https://x.com/_rockt
52,elonmusk,elonmusk,Elon Musk,Founder,tech,380,5.013,380,240644777,Starmind,44196397,,71,19,14,9,"{'troll': 0.5, 'banter': 10.7, 'hopeful': 6.6, 'humorous': 6.9, 'teaching': 5, 'combative': 4.2, 'informing': 17.2, 'announcing': 9.9, 'supportive': 24.2, 'provocative': 13.7, 'devils_advocate': 1}",140,False,False,,,12,https://digg.com/u/x/elonmusk,https://x.com/elonmusk
53,YejinChoinka,yejinchoinka,Yejin Choi,Academic,ai,378,4.987,378,29815,"professor at Stanford, researcher at NVIDIA, adventurer at heart",893882282175471616,https://github.com/yejinc,57,4,14,9.5,"{'troll': 0, 'banter': 10, 'hopeful': 12.5, 'humorous': 16.9, 'teaching': 13.8, 'combative': 0, 'informing': 11.3, 'announcing': 15, 'supportive': 15.6, 'provocative': 5, 'devils_advocate': 0}",8,False,False,,,41,https://digg.com/u/x/yejinchoinka,https://x.com/YejinChoinka
